mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.08216118812561035,0.00706934928894043,0.007955312728881836,0.0001270771026611328,2,1,50,"{'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.06593061494061458,-0.057681612517392795,-0.06180611372900369,0.004124501211610895,10
0.16702449321746826,0.00590670108795166,0.012278199195861816,0.00046503543853759766,2,1,100,"{'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.06326221911421748,-0.06044430461338322,-0.06185326186380035,0.0014089572504171269,11
0.09962522983551025,0.011279702186584473,0.012541532516479492,0.005312442779541016,2,2,50,"{'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 50}",-0.06600261494061449,-0.05684072362850408,-0.061421669284559284,0.004580945656055206,9
0.1861743927001953,0.01912403106689453,0.01175987720489502,8.475780487060547e-05,2,2,100,"{'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 100}",-0.06377263181263153,-0.06002386016893887,-0.061898245990785195,0.0018743858218463298,12
0.09858381748199463,0.0009986162185668945,0.007933378219604492,0.0001418590545654297,3,1,50,"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.03232730158729986,-0.021144417427085786,-0.026735859507192823,0.005591442080107036,4
0.1112980842590332,0.008428812026977539,0.004904031753540039,0.0008862018585205078,3,1,100,"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.03245958730158385,-0.0205219086737128,-0.026490747987648326,0.005968839313935527,3
0.09224867820739746,0.002147197723388672,0.0070574283599853516,0.0007517337799072266,3,2,50,"{'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 50}",-0.039813968253967644,-0.02254670314137208,-0.031180335697669863,0.008633632556297783,7
0.15857207775115967,0.002812027931213379,0.011155843734741211,0.0009279251098632812,3,2,100,"{'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100}",-0.04222357142857021,-0.02218229273409719,-0.0322029320813337,0.01002063934723651,8
0.07842230796813965,0.0005085468292236328,0.006041765213012695,0.0,,1,50,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.031119999999999877,-0.009993333333333894,-0.020556666666666886,0.01056333333333299,1
0.16012251377105713,0.007095932960510254,0.009918808937072754,0.00012981891632080078,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.03355999999999703,-0.01144561904761069,-0.02250280952380386,0.01105719047619317,2
0.08093512058258057,0.0054863691329956055,0.00690615177154541,0.0011452436447143555,,2,50,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 50}",-0.040681460317459825,-0.01737961904762024,-0.029030539682540032,0.011650920634919792,5
0.13981473445892334,0.0010541677474975586,0.009781122207641602,1.1920928955078125e-06,,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 100}",-0.0425161746031727,-0.01825105050504462,-0.03038361255410866,0.012132562049064042,6
